year,price,mileage,zip,model
2015,18.999,49.063,"""07640""",Honda CR-V
2016,16.495,36.489,"""07640""",Honda CR-V
2017,19.724,19.565,"""07640""",Honda CR-V
2019,25.771,8.025,"""07640""",Honda CR-V
2016,14.995,44.147,"""07640""",Honda CR-V
2017,22.95,43.517,"""07640""",Honda CR-V
2016,14.8,34.854,"""07640""",Honda CR-V
2016,15.695,38.818,"""07640""",Honda CR-V
2016,15.2,32.771,"""07640""",Honda CR-V
2019,25.39,2.948,"""07640""",Honda CR-V
2016,18.2,34.212,"""07640""",Honda CR-V
2016,16.495,39.424,"""07640""",Honda CR-V
2016,14.995,52.421,"""07640""",Honda CR-V
2019,26.322,3.663,"""07640""",Honda CR-V
2014,12.044,123.993,"""07640""",Honda CR-V
2013,16.298,54.661,"""07640""",Honda CR-V
2014,13.986,56.601,"""07640""",Honda CR-V
2017,18.995,40.206,"""07640""",Honda CR-V
2018,25.832,22.491,"""07640""",Honda CR-V
2015,19.198,32.329,"""07640""",Honda CR-V
2016,15,32.34,"""07640""",Honda CR-V
2016,18.6,26.194,"""07640""",Honda CR-V
2016,18.888,48.896,"""07640""",Honda CR-V
2016,18.295,28.432,"""07640""",Honda CR-V
2017,18.999,35.673,"""07640""",Honda CR-V
2016,19.995,36.1,"""07640""",Honda CR-V
2018,26.9,7.487,"""07640""",Honda CR-V
2016,15.748,42.556,"""07640""",Honda CR-V
2016,15.6,30.527,"""07640""",Honda CR-V
2013,12.125,103.096,"""07640""",Honda CR-V
2019,27.895,0.156,"""07640""",Honda CR-V
2019,30.663,7.648,"""07640""",Honda CR-V
2017,22.987,26.032,"""07640""",Honda CR-V
2015,13.995,79.861,"""07640""",Honda CR-V
2016,18.588,44.718,"""07640""",Honda CR-V
2016,17.5,40.305,"""07640""",Honda CR-V
2015,16,42.529,"""07640""",Honda CR-V
2016,16.7,23.386,"""07640""",Honda CR-V
2016,17,22.092,"""07640""",Honda CR-V
2016,15.229,43.131,"""07640""",Honda CR-V
2016,17.994,39.681,"""07640""",Honda CR-V
2019,23.561,0.002,"""07640""",Honda CR-V
2019,25.9,4.858,"""07640""",Honda CR-V
2016,17.9,31.429,"""07640""",Honda CR-V
2008,7.795,102.536,"""07640""",Honda CR-V
2016,14.992,48.098,"""07640""",Honda CR-V
2017,23.695,15.333,"""07640""",Honda CR-V
2016,17.598,32.976,"""07640""",Honda CR-V
2016,18.795,32.467,"""07640""",Honda CR-V
2016,18.5,45.005,"""07640""",Honda CR-V
2018,26.982,14.264,"""07640""",Honda CR-V
2016,17.482,47.485,"""07640""",Honda CR-V
2016,14.595,39.388,"""07640""",Honda CR-V
2016,16.9,91.697,"""07640""",Honda CR-V
2016,15.79,45.92,"""07640""",Honda CR-V
2016,18.5,30.386,"""07640""",Honda CR-V
2016,16.799,22.748,"""07640""",Honda CR-V
2017,21,25.905,"""07640""",Honda CR-V
2008,8.9,98.206,"""07640""",Honda CR-V
2015,15.207,40.574,"""07640""",Honda CR-V
2016,18.557,16.353,"""07640""",Honda CR-V
2019,27.9,4.376,"""07640""",Honda CR-V
2014,16.477,56.174,"""07640""",Honda CR-V
2018,24.477,26.325,"""07640""",Honda CR-V
2017,20.506,19.649,"""07640""",Honda CR-V
2017,24.366,28.483,"""07640""",Honda CR-V
2017,22.5,33.287,"""07640""",Honda CR-V
2019,27.937,9.651,"""07640""",Honda CR-V
2015,19.786,30.641,"""07640""",Honda CR-V
2014,11.5,87.493,"""07640""",Honda CR-V
2016,16.799,17.12,"""07640""",Honda CR-V
2019,23.323,0.004,"""07640""",Honda CR-V
2015,12.995,66.546,"""07640""",Honda CR-V
2016,16.9,36.698,"""07640""",Honda CR-V
2017,22.8,13.996,"""07640""",Honda CR-V
2016,18.385,52.409,"""07640""",Honda CR-V
2018,25.389,33.759,"""07640""",Honda CR-V
2016,15.15,28.375,"""07640""",Honda CR-V
2014,11,117.107,"""07640""",Honda CR-V
2015,17.4,49.548,"""07640""",Honda CR-V
2015,19.295,45.141,"""07640""",Honda CR-V
2017,22,22.277,"""07640""",Honda CR-V
2016,18.604,28.03,"""07640""",Honda CR-V
2011,7.995,134.382,"""07640""",Honda CR-V
2017,24.995,41.904,"""07640""",Honda CR-V
2016,17.595,17.987,"""07640""",Honda CR-V
2016,20.495,35.982,"""07640""",Honda CR-V
2018,24.713,8.604,"""07640""",Honda CR-V
2010,6.8,125.487,"""07640""",Honda CR-V
2014,16.898,17.835,"""07640""",Honda CR-V
2019,23.898,0.005,"""07640""",Honda CR-V
2016,18.495,12.362,"""07640""",Honda CR-V
2018,24.999,23.455,"""07640""",Honda CR-V
2016,15.737,39.292,"""07640""",Honda CR-V
2016,16.495,38.313,"""07640""",Honda CR-V
2018,21.49,13.045,"""07640""",Honda CR-V
2017,23.921,14.845,"""07640""",Honda CR-V
2015,16.398,36.737,"""07640""",Honda CR-V
2016,19.48,16.748,"""07640""",Honda CR-V
2014,17.995,44.387,"""07640""",Honda CR-V
2016,18.908,21.865,"""07640""",Honda CR-V
2013,13.688,88.674,"""07640""",Honda CR-V
2014,17.2,28.93,"""07640""",Honda CR-V
2017,22.982,10.501,"""07640""",Honda CR-V
2016,15.24,51.866,"""07640""",Honda CR-V
2017,26.495,29.204,"""07640""",Honda CR-V
2017,23.123,40.447,"""07640""",Honda CR-V
2011,8.525,134.28,"""07640""",Honda CR-V
2017,17.998,30.32,"""07640""",Honda CR-V
2016,21.7,10.524,"""07640""",Honda CR-V
2017,23.522,24.555,"""07640""",Honda CR-V
2016,20.795,11.011,"""07640""",Honda CR-V
2017,18.75,35.423,"""07640""",Honda CR-V
