year,price,mileage,zip,model
2016,31.5,21.101,"""16802""",Ford F150
2013,19.515,92.921,"""16802""",Ford F150
2014,19.99,86.606,"""16802""",Ford F150
2008,7.995,122.696,"""16802""",Ford F150
2019,38.9,18.448,"""16802""",Ford F150
2019,29.987,18.154,"""16802""",Ford F150
2015,21.988,64.436,"""16802""",Ford F150
2019,46.98,10.672,"""16802""",Ford F150
2013,21,91.108,"""16802""",Ford F150
2017,26.895,59.641,"""16802""",Ford F150
2011,13.5,160.827,"""16802""",Ford F150
2016,25.65,91.749,"""16802""",Ford F150
2013,23.988,77.329,"""16802""",Ford F150
2017,38.5,38.869,"""16802""",Ford F150
2012,31.888,56.609,"""16802""",Ford F150
2017,27,46.202,"""16802""",Ford F150
2012,18.495,83.537,"""16802""",Ford F150
2019,38.9,14.275,"""16802""",Ford F150
2015,26.746,82.791,"""16802""",Ford F150
2015,19.9,58.075,"""16802""",Ford F150
2014,14.895,113.286,"""16802""",Ford F150
2016,25.5,63.838,"""16802""",Ford F150
2018,39.5,12,"""16802""",Ford F150
2015,30.997,48.69,"""16802""",Ford F150
2016,20.99,66.908,"""16802""",Ford F150
2008,10.5,129.513,"""16802""",Ford F150
2015,36.9,24.499,"""16802""",Ford F150
2014,24.98,72.636,"""16802""",Ford F150
2018,24.8,42.413,"""16802""",Ford F150
2016,22.9,54.125,"""16802""",Ford F150
2019,42.8,28.221,"""16802""",Ford F150
2016,35.492,31.552,"""16802""",Ford F150
2013,18.995,60.797,"""16802""",Ford F150
2017,29,26.935,"""16802""",Ford F150
2019,46.95,13.457,"""16802""",Ford F150
2019,39.45,18.172,"""16802""",Ford F150
2016,32.599,43.247,"""16802""",Ford F150
2018,30,17.113,"""16802""",Ford F150
2016,28.995,24.344,"""16802""",Ford F150
2014,21.9,103.58,"""16802""",Ford F150
2016,30.736,70.635,"""16802""",Ford F150
2016,32.599,43.247,"""16802""",Ford F150
2019,37.978,13.712,"""16802""",Ford F150
2019,32.995,10.838,"""16802""",Ford F150
2012,15.9,159.761,"""16802""",Ford F150
2013,29,111.133,"""16802""",Ford F150
2016,30,33.122,"""16802""",Ford F150
2005,10.286,65.707,"""16802""",Ford F150
2018,28.9,42.319,"""16802""",Ford F150
2018,33.994,39.823,"""16802""",Ford F150
2013,19.9,74.325,"""16802""",Ford F150
2017,24.987,53.932,"""16802""",Ford F150
2012,20.9,78.048,"""16802""",Ford F150
2011,15.995,85.651,"""16802""",Ford F150
2019,29.5,10.619,"""16802""",Ford F150
2018,32.995,22.967,"""16802""",Ford F150
2017,25.45,20.797,"""16802""",Ford F150
2017,25.5,67.751,"""16802""",Ford F150
2013,20.304,74.405,"""16802""",Ford F150
2018,41.788,7.244,"""16802""",Ford F150
2016,27.5,25.664,"""16802""",Ford F150
2016,21.275,102.657,"""16802""",Ford F150
2014,24.9,66.501,"""16802""",Ford F150
2016,26.4,36.619,"""16802""",Ford F150
2019,29.5,17.186,"""16802""",Ford F150
2019,39.45,13.266,"""16802""",Ford F150
2016,20.5,89.895,"""16802""",Ford F150
2013,23.988,77.329,"""16802""",Ford F150
2014,20.988,53,"""16802""",Ford F150
2017,50,38.414,"""16802""",Ford F150
2018,30.495,10.413,"""16802""",Ford F150
2019,29.7,23.519,"""16802""",Ford F150
2016,30.299,35.306,"""16802""",Ford F150
2017,33.569,31.17,"""16802""",Ford F150
2018,35.96,34.761,"""16802""",Ford F150
2018,33.5,6,"""16802""",Ford F150
2018,27.995,43.33,"""16802""",Ford F150
2005,8,92.991,"""16802""",Ford F150
2018,29.713,13.209,"""16802""",Ford F150
2019,50.5,5.3,"""16802""",Ford F150
2018,32.526,15.919,"""16802""",Ford F150
2017,31.722,37.169,"""16802""",Ford F150
2019,29.987,18.268,"""16802""",Ford F150
2016,37.995,39.091,"""16802""",Ford F150
2018,34,8.14,"""16802""",Ford F150
2014,39.987,60.59,"""16802""",Ford F150
2016,27.287,35.354,"""16802""",Ford F150
2015,24.495,51.476,"""16802""",Ford F150
2012,15,102.708,"""16802""",Ford F150
2015,22.763,56.059,"""16802""",Ford F150
2010,16.889,64.488,"""16802""",Ford F150
2014,18,116.628,"""16802""",Ford F150
2014,23.99,16.5,"""16802""",Ford F150
2019,29.987,17.951,"""16802""",Ford F150
2017,30.5,32.54,"""16802""",Ford F150
2016,34,37.68,"""16802""",Ford F150
2016,29.978,35.428,"""16802""",Ford F150
2015,25,50.332,"""16802""",Ford F150
2016,27.705,28.283,"""16802""",Ford F150
2016,28.9,25.735,"""16802""",Ford F150
2016,27.166,25.195,"""16802""",Ford F150
2012,17.295,119.284,"""16802""",Ford F150
2018,59.991,15.257,"""16802""",Ford F150
