year,price,mileage,zip,model
2011,9.5,112.54,"""16802""",Toyota Camry
2017,16.75,25.443,"""16802""",Toyota Camry
2016,15.912,37.04,"""16802""",Toyota Camry
2012,11.6,68.254,"""16802""",Toyota Camry
2014,12.9,50.575,"""16802""",Toyota Camry
2016,15.495,25.628,"""16802""",Toyota Camry
2009,9.787,38.887,"""16802""",Toyota Camry
2017,16,31.971,"""16802""",Toyota Camry
2017,18.6,18.013,"""16802""",Toyota Camry
2017,21.461,26.398,"""16802""",Toyota Camry
2017,18.559,28.747,"""16802""",Toyota Camry
2012,11.4,61.509,"""16802""",Toyota Camry
2007,4.925,168.065,"""16802""",Toyota Camry
2017,13.997,53.699,"""16802""",Toyota Camry
2018,18.768,31.387,"""16802""",Toyota Camry
2017,15.978,103.293,"""16802""",Toyota Camry
2016,13.3,23,"""16802""",Toyota Camry
2003,5,146.949,"""16802""",Toyota Camry
2017,16.49,37.837,"""16802""",Toyota Camry
2017,13.5,24.415,"""16802""",Toyota Camry
